Measurement: #11
Date: 2024-06-12T19:13:51.3957792+01:00
MLIC serial number: 26687
Comments: 
Calibration info: [2024-05-24 17:19:39]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: n/a
Snout distance: n/a
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 10000 [ms]
Number of samples: 1
Measurement mode: SingleShot
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.256;3.107;4.958;6.809;8.660;10.511;12.362;14.213;16.064;17.915;19.766;21.617;23.468;25.319;27.170;29.021;30.872;32.723;34.574;36.425;38.276;40.127;41.978;43.829;45.680;47.531;49.382;51.233;53.084;54.935;56.786;58.637;60.488;62.339;64.190;66.041;67.892;69.743;71.594;73.445;75.296;77.147;78.998;80.849;82.700;84.551;86.402;88.253;90.104;91.955;93.806;95.657;97.508;99.359;101.210;103.061;104.912;106.763;108.614;110.465;112.316;114.167;116.018;117.869;119.720;121.571;123.422;125.273;127.124;128.975;130.826;132.677;134.528;136.379;138.230;140.081;141.932;143.783;145.634;147.485;149.336;151.187;153.038;154.889;156.740;158.591;160.442;162.293;164.144;165.995;167.846;169.697;171.548;173.399;175.250;177.101;178.952;180.803;182.654;184.505;186.356;188.207;190.058;191.909;193.760;195.611;197.462;199.313;201.164;203.015;204.866;206.717;208.568;210.419;212.270;214.121;215.972;217.823;219.674;221.525;223.376;225.227;227.078;228.929;230.780;232.631;234.482;236.333;238.184;240.035;241.886;243.737;245.588;247.439;249.290;251.141;252.992;254.843;256.694;258.545;260.396;262.247;264.098;265.949;267.800;269.651;271.502;273.353;275.204;277.055;278.906;280.757;282.608;284.459;286.310;288.161;290.012;291.863;293.714;295.565;297.416;299.267;301.118;302.969;304.820;306.671;308.522;310.373;312.224;314.075;315.926;317.777;319.628;321.479;323.330;325.181;327.032;328.883;330.734;332.585
Curve gains: [counts]
1416.309;1416.385;1412.534;1421.846;1428.587;1441.329;1452.781;1463.496;1467.922;1480.071;1487.773;1493.032;1504.020;1512.174;1519.234;1525.214;1530.574;1541.657;1542.450;1552.383;1555.387;1560.769;1559.538;1577.869;1570.269;1589.544;1591.948;1583.978;1605.784;1608.274;1610.177;1617.164;1618.927;1630.142;1636.551;1635.006;1644.946;1655.906;1652.903;1670.742;1665.108;1677.480;1687.235;1692.691;1696.127;1703.848;1711.271;1709.463;1719.483;1736.824;1743.063;1744.332;1755.886;1774.978;1771.182;1780.045;1786.058;1795.944;1806.217;1828.940;1831.326;1844.504;1852.081;1866.574;1879.884;1883.399;1899.909;1921.671;1924.562;1946.969;1965.643;1988.195;1986.886;2028.470;2033.879;2059.194;2086.041;2104.364;2139.122;2146.095;2194.231;2207.978;2253.279;2273.961;2325.169;2359.516;2406.592;2451.158;2503.826;2564.363;2630.230;2697.247;2787.137;2874.440;2989.896;3114.969;3270.982;3449.046;3721.454;4015.583;4408.962;4946.487;5347.968;5410.177;4775.359;3483.701;2076.244;935.335;307.250;74.004;13.340;4.943;3.300;3.173;3.384;3.043;4.228;2.849;3.309;3.453;2.666;3.011;2.384;3.152;2.484;4.295;2.068;2.334;2.534;2.336;1.906;2.029;2.479;1.207;2.137;2.359;1.493;1.865;3.260;2.311;2.044;1.871;2.236;3.879;1.212;2.121;2.980;1.166;1.688;2.436;1.591;1.443;2.391;1.616;1.934;1.693;1.342;2.264;0.862;1.994;1.377;1.210;1.858;1.742;1.805;2.471;1.726;1.007;2.261;0.530;2.126;0.639;0.643;2.890;1.323;0.764;1.473;1.529;1.002;0.846

Samples: 1
1287.333;1620.833;1313.167;1512.500;1595.667;1315.667;917.500;2024.500;1026.333;1601.667;1584.833;1466.000;1447.333;1606.667;1710.833;1452.000;1947.333;1229.500;1514.667;1623.000;1569.667;1731.167;1253.833;1781.167;1265.167;2043.167;1644.333;1382.333;1702.500;1422.333;1763.333;1829.167;1355.833;1793.000;1579.500;1607.333;1643.667;1839.167;986.000;2062.500;1858.833;1709.333;2167.000;1566.500;1666.333;1838.500;1681.333;939.333;1756.667;1876.333;1955.167;1518.667;1888.333;2170.500;1702.333;1702.833;1944.167;1736.000;1486.333;1842.000;2122.333;1937.667;1567.000;2079.667;1903.167;1405.333;1961.167;2202.667;1924.167;1688.000;2054.000;1982.500;1629.500;2742.000;2086.167;2019.833;2174.333;2078.333;2243.167;1492.833;2426.167;2189.333;2240.167;2170.667;2323.167;2334.333;2820.000;2628.333;2665.333;2375.167;3221.333;2601.000;2786.167;2872.333;3139.500;3115.833;3433.167;3286.000;4209.500;4131.333;4470.333;6293.167;5250.500;5760.333;4426.333;1805.000;2392.167;753.833;371.000;65.333;15.167;5.500;3.500;3.500;3.000;3.333;3.500;3.500;3.167;3.333;2.833;2.667;2.167;3.333;2.833;3.500;2.167;2.333;2.667;2.333;1.833;2.000;2.667;1.167;2.000;2.500;1.667;1.500;3.000;2.500;2.167;2.667;1.833;2.333;1.833;1.667;1.667;1.333;1.667;2.000;1.833;1.333;2.000;1.667;1.833;1.333;1.500;1.833;0.833;2.167;1.333;1.167;1.667;1.833;1.667;2.500;1.667;1.500;1.833;0.667;2.000;0.667;0.667;1.833;1.167;0.833;1.667;1.167;0.833;1.000
