Measurement: #7
Date: 2024-06-12T19:04:18.4949756+01:00
MLIC serial number: 26687
Comments: 
Calibration info: [2024-05-24 17:19:39]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: n/a
Snout distance: n/a
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 10000 [ms]
Number of samples: 1
Measurement mode: SingleShot
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.256;3.107;4.958;6.809;8.660;10.511;12.362;14.213;16.064;17.915;19.766;21.617;23.468;25.319;27.170;29.021;30.872;32.723;34.574;36.425;38.276;40.127;41.978;43.829;45.680;47.531;49.382;51.233;53.084;54.935;56.786;58.637;60.488;62.339;64.190;66.041;67.892;69.743;71.594;73.445;75.296;77.147;78.998;80.849;82.700;84.551;86.402;88.253;90.104;91.955;93.806;95.657;97.508;99.359;101.210;103.061;104.912;106.763;108.614;110.465;112.316;114.167;116.018;117.869;119.720;121.571;123.422;125.273;127.124;128.975;130.826;132.677;134.528;136.379;138.230;140.081;141.932;143.783;145.634;147.485;149.336;151.187;153.038;154.889;156.740;158.591;160.442;162.293;164.144;165.995;167.846;169.697;171.548;173.399;175.250;177.101;178.952;180.803;182.654;184.505;186.356;188.207;190.058;191.909;193.760;195.611;197.462;199.313;201.164;203.015;204.866;206.717;208.568;210.419;212.270;214.121;215.972;217.823;219.674;221.525;223.376;225.227;227.078;228.929;230.780;232.631;234.482;236.333;238.184;240.035;241.886;243.737;245.588;247.439;249.290;251.141;252.992;254.843;256.694;258.545;260.396;262.247;264.098;265.949;267.800;269.651;271.502;273.353;275.204;277.055;278.906;280.757;282.608;284.459;286.310;288.161;290.012;291.863;293.714;295.565;297.416;299.267;301.118;302.969;304.820;306.671;308.522;310.373;312.224;314.075;315.926;317.777;319.628;321.479;323.330;325.181;327.032;328.883;330.734;332.585
Curve gains: [counts]
1416.309;1419.881;1414.685;1426.547;1433.064;1443.520;1455.947;1467.110;1470.783;1481.919;1488.712;1493.032;1505.059;1514.997;1521.010;1527.315;1531.359;1541.657;1543.468;1553.339;1557.368;1563.474;1563.269;1581.412;1573.992;1591.878;1594.852;1587.415;1605.784;1610.535;1614.742;1618.048;1622.509;1632.870;1639.659;1638.058;1646.948;1660.408;1652.903;1671.552;1666.899;1680.424;1687.235;1695.933;1697.145;1707.555;1712.288;1713.103;1722.419;1739.600;1748.412;1745.480;1756.816;1780.703;1773.263;1783.181;1788.814;1798.013;1805.001;1829.933;1833.915;1846.407;1853.263;1868.369;1885.810;1883.399;1903.784;1924.289;1927.562;1951.582;1969.471;1991.204;1990.544;2029.949;2034.854;2061.233;2088.920;2105.376;2141.983;2148.970;2196.040;2211.004;2255.291;2278.151;2329.173;2361.538;2409.153;2455.820;2507.584;2565.443;2631.047;2700.358;2789.137;2873.440;2993.705;3117.968;3273.840;3451.145;3725.874;4020.443;4413.893;4950.417;5353.060;5417.690;4785.068;3491.421;2084.056;940.298;308.906;74.004;12.460;4.943;4.243;4.079;3.384;3.955;4.228;2.849;3.309;3.453;3.607;4.141;4.585;3.152;3.361;4.295;3.023;3.335;3.484;2.336;2.946;3.044;2.479;3.277;3.205;2.359;2.389;1.865;3.260;2.311;2.987;1.871;2.236;2.216;1.873;3.394;0.000;0.000;0.000;0.000;1.591;0.000;2.391;1.616;1.934;1.693;1.342;2.264;2.930;1.994;2.410;2.246;1.858;0.792;1.805;2.471;2.762;1.007;2.261;1.326;1.063;1.597;1.606;2.890;2.458;1.680;1.473;0.000;0.000;0.846

Samples: 1
1287.333;1624.833;1315.167;1517.500;1600.667;1317.667;919.500;2029.500;1028.333;1603.667;1585.833;1466.000;1448.333;1609.667;1712.833;1454.000;1948.333;1229.500;1515.667;1624.000;1571.667;1734.167;1256.833;1785.167;1268.167;2046.167;1647.333;1385.333;1702.500;1424.333;1768.333;1830.167;1358.833;1796.000;1582.500;1610.333;1645.667;1844.167;986.000;2063.500;1860.833;1712.333;2167.000;1569.500;1667.333;1842.500;1682.333;941.333;1759.667;1879.333;1961.167;1519.667;1889.333;2177.500;1704.333;1705.833;1947.167;1738.000;1485.333;1843.000;2125.333;1939.667;1568.000;2081.667;1909.167;1405.333;1965.167;2205.667;1927.167;1692.000;2058.000;1985.500;1632.500;2744.000;2087.167;2021.833;2177.333;2079.333;2246.167;1494.833;2428.167;2192.333;2242.167;2174.667;2327.167;2336.333;2823.000;2633.333;2669.333;2376.167;3222.333;2604.000;2788.167;2871.333;3143.500;3118.833;3436.167;3288.000;4214.500;4136.333;4475.333;6298.167;5255.500;5768.333;4435.333;1809.000;2401.167;757.833;373.000;65.333;14.167;5.500;4.500;4.500;3.000;4.333;3.500;3.500;3.167;3.333;3.833;3.667;4.167;3.333;3.833;3.500;3.167;3.333;3.667;2.333;2.833;3.000;2.667;3.167;3.000;2.500;2.667;1.500;3.000;2.500;3.167;2.667;1.833;1.333;2.833;2.667;0.000;0.000;0.000;0.000;1.833;0.000;2.000;1.667;1.833;1.333;1.500;1.833;2.833;2.167;2.333;2.167;1.667;0.833;1.667;2.500;2.667;1.500;1.833;1.667;1.000;1.667;1.667;1.833;2.167;1.833;1.667;0.000;0.000;1.000
