Measurement: #8
Date: 2024-06-12T19:07:39.5851802+01:00
MLIC serial number: 26687
Comments: 
Calibration info: [2024-05-24 17:19:39]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: n/a
Snout distance: n/a
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 10000 [ms]
Number of samples: 1
Measurement mode: SingleShot
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.256;3.107;4.958;6.809;8.660;10.511;12.362;14.213;16.064;17.915;19.766;21.617;23.468;25.319;27.170;29.021;30.872;32.723;34.574;36.425;38.276;40.127;41.978;43.829;45.680;47.531;49.382;51.233;53.084;54.935;56.786;58.637;60.488;62.339;64.190;66.041;67.892;69.743;71.594;73.445;75.296;77.147;78.998;80.849;82.700;84.551;86.402;88.253;90.104;91.955;93.806;95.657;97.508;99.359;101.210;103.061;104.912;106.763;108.614;110.465;112.316;114.167;116.018;117.869;119.720;121.571;123.422;125.273;127.124;128.975;130.826;132.677;134.528;136.379;138.230;140.081;141.932;143.783;145.634;147.485;149.336;151.187;153.038;154.889;156.740;158.591;160.442;162.293;164.144;165.995;167.846;169.697;171.548;173.399;175.250;177.101;178.952;180.803;182.654;184.505;186.356;188.207;190.058;191.909;193.760;195.611;197.462;199.313;201.164;203.015;204.866;206.717;208.568;210.419;212.270;214.121;215.972;217.823;219.674;221.525;223.376;225.227;227.078;228.929;230.780;232.631;234.482;236.333;238.184;240.035;241.886;243.737;245.588;247.439;249.290;251.141;252.992;254.843;256.694;258.545;260.396;262.247;264.098;265.949;267.800;269.651;271.502;273.353;275.204;277.055;278.906;280.757;282.608;284.459;286.310;288.161;290.012;291.863;293.714;295.565;297.416;299.267;301.118;302.969;304.820;306.671;308.522;310.373;312.224;314.075;315.926;317.777;319.628;321.479;323.330;325.181;327.032;328.883;330.734;332.585
Curve gains: [counts]
